adb shell cat /proc/partinfo
Name             Start                  Size
pgpt             0x0000000000000000     0x0000000000080000
proinfo          0x0000000000080000     0x0000000000300000
nvram            0x0000000000380000     0x0000000000500000
protect1         0x0000000000880000     0x0000000000a00000
protect2         0x0000000001280000     0x0000000000a00000
seccfg           0x0000000001c80000     0x0000000000040000
lk               0x0000000001cc0000     0x0000000000060000
boot             0x0000000001d20000     0x0000000001000000
recovery         0x0000000002d20000     0x0000000001000000
para             0x0000000003d20000     0x0000000000080000
logo             0x0000000003da0000     0x0000000000800000
expdb            0x00000000045a0000     0x0000000000a00000
frp              0x0000000004fa0000     0x0000000000100000
nvdata           0x00000000050a0000     0x0000000002000000
metadata         0x00000000070a0000     0x0000000002760000
oemkeystore      0x0000000009800000     0x0000000000200000
secro            0x0000000009a00000     0x0000000000600000
keystore         0x000000000a000000     0x0000000000800000
system           0x000000000a800000     0x0000000060000000
cache            0x000000006a800000     0x0000000010000000
userdata         0x000000007a800000     0x000000006df80000
flashinfo        0x00000000e8780000     0x0000000001000000
sgpt             0x00000000e9780000     0x0000000000080000
